date,dist,co,no2,o3,so2,ch4,hcho
2018-04-30,q1,0.03651905804872513,5.898750896449201e-05,0.12750932574272156,0,0,0
2018-04-30,q2,0.03651905804872513,5.898750896449201e-05,0.12750932574272156,0,0,0
2018-04-30,q3,0.03651905804872513,0,0.12736470997333527,0,0,0
2018-04-30,q4,0.03651905804872513,5.898750896449201e-05,0.12750932574272156,0,0,0
2018-04-30,q5,0.03821905329823494,0,0.12736470997333527,0,0,0
2018-04-30,q6,0.03821905329823494,0,0.12588319182395935,0,0,0
2018-04-30,q7,0.03614623472094536,4.551002712105401e-05,0.12688413262367249,0,0,0
2018-04-30,q8,0.036424487829208374,3.46318120136857e-05,0.12639349699020386,0,0,0
2018-04-30,q9,0.037094369530677795,6.271250458667055e-05,0.1262279599905014,0,0,0
2018-04-30,q10,0.03821905329823494,0,0.12736470997333527,0,0,0
2018-04-30,q11,0.03821905329823494,0,0.12588319182395935,0,0,0
2018-04-30,q12,0,0,0.12751492857933044,0,0,0
2018-04-30,qbthanh,0.03651905804872513,5.898750896449201e-05,0.12750932574272156,0,0,0
2018-04-30,qbtan,0.03942680358886719,0,0.1258298009634018,0,0,0
2018-04-30,qgvap,0.03924817219376564,0,0.12751492857933044,0,0,0
2018-04-30,qpnhuan,0.03651905804872513,0,0.12736470997333527,0,0,0
2018-04-30,qtbinh,0.03821905329823494,0,0.12588319182395935,0,0,0
2018-04-30,qtphu,0.03821905329823494,0,0.12588319182395935,0,0,0
2018-04-30,hbchanh,0.03806716203689575,0,0.12673774361610413,0,0,0
2018-04-30,hcgio,0,0,0,0,0,0
2018-04-30,hcchi,0.03933991491794586,0,0.12585435807704926,0,0,0
2018-04-30,hhmon,0,0,0.12634576857089996,0,0,0
2018-04-30,hnbe,0.03575891628861427,3.266036947024986e-05,0.12587270140647888,0,0,0
2018-04-30,tptduc,0,6.190301792230457e-05,0.1272953599691391,0,0,0
2018-05-01,q1,0.03576464578509331,5.3163294069236144e-05,0.12875640392303467,0,0,0
2018-05-01,q2,0.03576464578509331,4.002869172836654e-05,0.12830372154712677,0,0,0
2018-05-01,q3,0.03765665367245674,5.3163294069236144e-05,0.12875640392303467,0,0,0
2018-05-01,q4,0.03576464578509331,9.250365837942809e-05,0.12877824902534485,0,0,0
2018-05-01,q5,0.03769757226109505,0,0.12690947949886322,0,0,0
2018-05-01,q6,0.03769757226109505,0,0.12690947949886322,0,0,0
2018-05-01,q7,0.03576464578509331,9.250365837942809e-05,0.12877824902534485,0,0,0
2018-05-01,q8,0.03769757226109505,0,0.12690947949886322,0,0,0
2018-05-01,q9,0.03765665367245674,3.5436500184005126e-05,0.1284583956003189,0,0,0
2018-05-01,q10,0.03769757226109505,0,0.12833267450332642,0,0,0
2018-05-01,q11,0.03769757226109505,0,0.12833267450332642,0,0,0
2018-05-01,q12,0.03910953924059868,0,0.12851141393184662,0,0,0
2018-05-01,qbthanh,0.03765665367245674,5.3163294069236144e-05,0.12875640392303467,0,0,0
2018-05-01,qbtan,0.03769757226109505,0,0.12791478633880615,0,0,0
2018-05-01,qgvap,0.03765665367245674,5.3163294069236144e-05,0.12875640392303467,0,0,0
2018-05-01,qpnhuan,0.03765665367245674,5.3163294069236144e-05,0.12875640392303467,0,0,0
2018-05-01,qtbinh,0.03652767464518547,0,0.12833267450332642,0,0,0
2018-05-01,qtphu,0.03652767464518547,0,0.12833267450332642,0,0,0
2018-05-01,hbchanh,0.03769757226109505,0,0.12791478633880615,0,0,0
2018-05-01,hcgio,0,0,0,0,0,0
2018-05-01,hcchi,0.0383572094142437,4.196304871584289e-05,0.1281505674123764,0,0,0
2018-05-01,hhmon,0.0367266945540905,0,0.12753023207187653,0,0,0
2018-05-01,hnbe,0.03513874486088753,0,0.12760387361049652,0,0,0
2018-05-01,tptduc,0.03576464578509331,7.384252967312932e-05,0.12916289269924164,0,0,0
2018-05-02,q1,0.037217818200588226,5.091739149065688e-05,0.12705302238464355,0,0,0
2018-05-02,q2,0.037217818200588226,5.091739149065688e-05,0.12705302238464355,0,0,0
2018-05-02,q3,0.037217818200588226,5.8205951063428074e-05,0.12779037654399872,0,0,0
2018-05-02,q4,0.037217818200588226,5.091739149065688e-05,0.12705302238464355,0,0,0
2018-05-02,q5,0.04317232221364975,5.7452492910670117e-05,0.1270722597837448,0,0,0
2018-05-02,q6,0.04317232221364975,5.7452492910670117e-05,0.1270722597837448,0,0,0
2018-05-02,q7,0.03649624064564705,5.091739149065688e-05,0.12705302238464355,0,0,0
2018-05-02,q8,0.04317232221364975,5.7452492910670117e-05,0.1270722597837448,0,0,0
2018-05-02,q9,0.037217818200588226,5.8205951063428074e-05,0.12779037654399872,0,0,0
2018-05-02,q10,0.04317232221364975,5.7452492910670117e-05,0.1270722597837448,0,0,0
2018-05-02,q11,0.04317232221364975,7.169046875787899e-05,0.12789413332939148,0,0,0
2018-05-02,q12,0.03713633120059967,6.0798065533163026e-05,0.12705756723880768,0,0,0
2018-05-02,qbthanh,0.037217818200588226,5.8205951063428074e-05,0.12779037654399872,0,0,0
2018-05-02,qbtan,0.04317232221364975,5.7452492910670117e-05,0.1270722597837448,0,0,0
2018-05-02,qgvap,0.03713633120059967,7.169046875787899e-05,0.12789413332939148,0,0,0
2018-05-02,qpnhuan,0.037217818200588226,7.169046875787899e-05,0.12789413332939148,0,0,0
2018-05-02,qtbinh,0.040872737765312195,7.169046875787899e-05,0.12789413332939148,0,0,0
2018-05-02,qtphu,0.04317232221364975,7.169046875787899e-05,0.12789413332939148,0,0,0
