date,dist,co,no2,o3,so2,ch4,hcho
2018-08-30,q1,0,0,0.12064177542924881,0,0,0
2018-08-31,q1,0.024938875809311867,0,0.12187565863132477,2.0341913113952614e-05,0,0.0001759079605108127
2018-09-01,q1,0,0,0.12188056856393814,0,0,0.00024893638328649104
2018-09-02,q1,0,0,0.12237749248743057,0,0,0
2018-09-03,q1,0,0,0.1235821321606636,0,0,0
2018-09-04,q1,0.025568345561623573,0,0.11984404921531677,0,0,0
2018-09-05,q1,0.02782708965241909,0,0.12124195694923401,8.704625361133367e-05,0,0.00011949874897254631
2018-09-06,q1,0,0,0.12419924139976501,0,0,0
2018-09-07,q1,0,0,0.1252155601978302,8.677571167936549e-05,0,0
2018-09-08,q1,0,0,0.12280711531639099,0,0,0
2018-09-09,q1,0.03138521686196327,5.32631493115332e-05,0.12057613581418991,0,0,0.00022137830092106014
2018-09-10,q1,0.03041609190404415,7.980797090567648e-05,0.12033024430274963,5.299042823025957e-05,0,0.000161734817083925
2018-09-11,q1,0,0,0.12089172005653381,0,0,0
2018-09-12,q1,0,0,0.12114434689283371,0,0,0
2018-09-13,q1,0,0,0.12197677046060562,0,0,0
2018-09-14,q1,0,0,0.12053149938583374,0,0,0
2018-09-15,q1,0,0,0.12089773267507553,0,0,0
2018-09-16,q1,0,0,0.11862680315971375,0,0,0
2018-09-17,q1,0,0,0.12098641693592072,0.0011116752866655588,0,0
2018-09-18,q1,0,0,0.12022658437490463,0,0,0
2018-09-19,q1,0,0,0.12250154465436935,0,0,0.00012585696822497994
2018-09-20,q1,0.04435933753848076,0,0.11978704482316971,0,0,0
2018-09-21,q1,0,0,0.12024259567260742,0,0,0
2018-09-22,q1,0,0,0.11962652951478958,0,0,0
2018-09-23,q1,0,0,0.12084415555000305,0,0,0
2018-09-24,q1,0,0,0.11995727568864822,0,0,0
2018-09-25,q1,0.03416686877608299,7.247493340400979e-05,0.11994294077157974,0,0,0.00019936660828534514
2018-09-26,q1,0.031124379485845566,0,0.11921487003564835,0,0,0
2018-09-27,q1,0.03639601543545723,0,0.12441250681877136,0,0,0.00025788688799366355
2018-09-28,q1,0,0,0.12185915559530258,0,0,0
2018-09-29,q1,0,0,0.11836177855730057,0,0,0
2018-09-30,q1,0,0,0.12015675753355026,0,0,0
2018-10-01,q1,0.06242316961288452,0.0001683141745161265,0.11933460086584091,0,0,0.0002991297806147486
2018-10-02,q1,0,0,0.12060018628835678,0,0,0.0004010822158306837
2018-10-03,q1,0,0,0.12263253331184387,0,0,0.0004901754437014461
2018-10-04,q1,0,0,0.12080392241477966,3.4476381642889464e-06,0,0
2018-10-05,q1,0,0,0.1189492791891098,0,0,0
2018-10-06,q1,0,0,0.12318258732557297,0,0,0
2018-10-07,q1,0.03912854939699173,0,0.11931741237640381,0,0,0
2018-10-08,q1,0.04052374139428139,0,0.1225380152463913,0,0,0.00030335571500472724
2018-10-09,q1,0.04613310098648071,5.770012649009004e-05,0.12050794064998627,0.00028742619906552136,0,0.00031349147320725024
2018-10-10,q1,0,0,0.12051423639059067,7.675772940274328e-05,0,0.0002322350483154878
2018-10-11,q1,0,0,0.11916150152683258,4.465154006538796e-07,0,9.22439357964322e-05
